sample	chr	hom	start	end	donor
Sim1	10	H1	0	9859608	B73
Sim1	10	H1	9859609	139395922	Mo17
Sim1	10	H1	139395923	140960124	B73
Sim1	10	H1	140960125	148079127	Mo17
Sim1	10	H1	148079128	148738937	B73
Sim1	10	H1	148738938	150873537	Mo17
Sim1	10	H2	0	147488631	Mo17
Sim1	10	H2	147488632	148510556	B73
Sim1	10	H2	148510557	150873537	Mo17
Sim2	10	H1	0	74218785	Mo17
Sim2	10	H1	74218786	147516250	B73
Sim2	10	H1	147516251	150873537	Mo17
Sim2	10	H2	0	147859594	B73
Sim2	10	H2	147859595	150873537	Mo17
Sim3	10	H1	0	150873537	Mo17
Sim3	10	H2	0	141188387	B73
Sim3	10	H2	141188388	149365465	Mo17
Sim3	10	H2	149365466	150873537	B73
Sim4	10	H1	0	150873537	Mo17
Sim4	10	H2	0	2748084	Mo17
Sim4	10	H2	2748085	72348738	B73
Sim4	10	H2	72348739	150873537	Mo17
Sim5	10	H1	0	150873537	Mo17
Sim5	10	H2	0	3771971	B73
Sim5	10	H2	3771972	132902655	Mo17
Sim5	10	H2	132902656	145434408	B73
Sim5	10	H2	145434409	150873537	Mo17
Sim6	10	H1	0	150873537	Mo17
Sim6	10	H2	0	148249447	B73
Sim6	10	H2	148249448	150873537	Mo17
Sim7	10	H1	0	150873537	Mo17
Sim7	10	H2	0	39280592	Mo17
Sim7	10	H2	39280593	105579691	B73
Sim7	10	H2	105579692	136486766	Mo17
Sim7	10	H2	136486767	144186543	B73
Sim7	10	H2	144186544	150873537	Mo17
Sim8	10	H1	0	150873537	Mo17
Sim8	10	H2	0	147831518	B73
Sim8	10	H2	147831519	150873537	Mo17
Sim9	10	H1	0	112660238	B73
Sim9	10	H1	112660239	143405740	Mo17
Sim9	10	H1	143405741	150873537	B73
Sim9	10	H2	0	150873537	B73
Sim10	10	H1	0	1498368	B73
Sim10	10	H1	1498369	150873537	Mo17
Sim10	10	H2	0	150873537	Mo17
Sim11	10	H1	0	148229821	Mo17
Sim11	10	H1	148229822	149353280	B73
Sim11	10	H1	149353281	150873537	Mo17
Sim11	10	H2	0	150873537	B73
Sim12	10	H1	0	14967725	B73
Sim12	10	H1	14967726	142913722	Mo17
Sim12	10	H1	142913723	150873537	B73
Sim12	10	H2	0	142178956	B73
Sim12	10	H2	142178957	142828358	Mo17
Sim12	10	H2	142828359	150873537	B73
Sim13	10	H1	0	138538462	Mo17
Sim13	10	H1	138538463	142355728	B73
Sim13	10	H1	142355729	148382430	Mo17
Sim13	10	H1	148382431	148783969	B73
Sim13	10	H1	148783970	150873537	Mo17
Sim13	10	H2	0	150873537	Mo17
Sim14	10	H1	0	132890900	Mo17
Sim14	10	H1	132890901	145269907	B73
Sim14	10	H1	145269908	150873537	Mo17
Sim14	10	H2	0	144261935	B73
Sim14	10	H2	144261936	150873537	Mo17
Sim15	10	H1	0	150873537	Mo17
Sim15	10	H2	0	150873537	Mo17
Sim16	10	H1	0	150309911	Mo17
Sim16	10	H1	150309912	150873537	B73
Sim16	10	H2	0	9159666	B73
Sim16	10	H2	9159667	150873537	Mo17
Sim17	10	H1	0	150873537	Mo17
Sim17	10	H2	0	92834127	Mo17
Sim17	10	H2	92834128	125557201	B73
Sim17	10	H2	125557202	150873537	Mo17
Sim18	10	H1	0	132200382	Mo17
Sim18	10	H1	132200383	150873537	B73
Sim18	10	H2	0	6636371	B73
Sim18	10	H2	6636372	10696709	Mo17
Sim18	10	H2	10696710	150873537	B73
Sim19	10	H1	0	150873537	Mo17
Sim19	10	H2	0	150873537	Mo17
Sim20	10	H1	0	150873537	B73
Sim20	10	H2	0	125630660	B73
Sim20	10	H2	125630661	130110456	Mo17
Sim20	10	H2	130110457	136401960	B73
Sim20	10	H2	136401961	150873537	Mo17
Sim21	10	H1	0	150390535	B73
Sim21	10	H1	150390536	150708818	Mo17
Sim21	10	H1	150708819	150873537	B73
Sim21	10	H2	0	141849791	B73
Sim21	10	H2	141849792	150873537	Mo17
Sim22	10	H1	0	150873537	B73
Sim22	10	H2	0	142882601	B73
Sim22	10	H2	142882602	150873537	Mo17
Sim23	10	H1	0	150873537	B73
Sim23	10	H2	0	150873537	Mo17
Sim24	10	H1	0	150873537	Mo17
Sim24	10	H2	0	5837251	B73
Sim24	10	H2	5837252	150873537	Mo17
Sim25	10	H1	0	150873537	B73
Sim25	10	H2	0	150873537	Mo17
Sim26	10	H1	0	150873537	B73
Sim26	10	H2	0	9936019	B73
Sim26	10	H2	9936020	143020045	Mo17
Sim26	10	H2	143020046	145379127	B73
Sim26	10	H2	145379128	150795073	Mo17
Sim26	10	H2	150795074	150873537	B73
Sim27	10	H1	0	132314914	Mo17
Sim27	10	H1	132314915	148586929	B73
Sim27	10	H1	148586930	150873537	Mo17
Sim27	10	H2	0	132137691	Mo17
Sim27	10	H2	132137692	150873537	B73
Sim28	10	H1	0	150873537	B73
Sim28	10	H2	0	150873537	B73
Sim29	10	H1	0	150873537	B73
Sim29	10	H2	0	5524472	Mo17
Sim29	10	H2	5524473	10859806	B73
Sim29	10	H2	10859807	22293825	Mo17
Sim29	10	H2	22293826	148399639	B73
Sim29	10	H2	148399640	150873537	Mo17
Sim30	10	H1	0	150873537	Mo17
Sim30	10	H2	0	146468221	B73
Sim30	10	H2	146468222	146934401	Mo17
Sim30	10	H2	146934402	149156742	B73
Sim30	10	H2	149156743	150873537	Mo17
Sim31	10	H1	0	140503488	B73
Sim31	10	H1	140503489	150873537	Mo17
Sim31	10	H2	0	150873537	Mo17
Sim32	10	H1	0	150873537	B73
Sim32	10	H2	0	150873537	Mo17
